 	رده:انجمن سرطان آمریکا	Category:American_Cancer_Society	American_Cancer_Society
 	رده:مگس‌های اکراسی	Category:Athericidae	Athericidae
 	رده:باشگاه فوتبال آترسلی رکریشن	Category:Athersley_Recreation_F.C.	Athersley_Recreation_F.C.
 	رده:آتلانتا دریم	Category:Atlanta_Dream	Atlanta_Dream
 	رده:باشگاه فوتبال آتلانتا یونایتد	Category:Atlanta_United_FC	Atlanta_United_FC
 	رده:آتلانتیک ایرویز	Category:Atlantic_Airways	Atlantic_Airways
 	رده:اقدام به ترور رونالد ریگان رییس جمهور ایالات متحده امریکا	Category:Attempted_assassination_of_Ronald_Reagan	Attempted_assassination_of_Ronald_Reagan
 	رده:آتیراو	Category:Atyrau	Atyrau
 	رده:آوبرن، کالیفرنیا	Category:Auburn,_California	Auburn,_California
 	رده:اوبورن‌دیل، فلوریدا	Category:Auburndale,_Florida	Auburndale,_Florida
 	رده:اوکرا ۲	Category:Aukra	Aukra
 	رده:اووره	Category:Aure,_Norway	Aure,_Norway
 	رده:آئورل ولایکو	Category:Aurel_Vlaicu	Aurel_Vlaicu
 	رده:گوش‌قارچ‌سانان	Category:Auriculariales	Auriculariales
 	رده:آئورورا، انتاریو	Category:Aurora,_Ontario	Aurora,_Ontario
 	رده:آستین، نوادا	Category:Austin,_Nevada	Austin,_Nevada
 	رده:مؤسسه فیلم استرالیا	Category:Australian_Film_Institute	Australian_Film_Institute
 	رده:سنای استرالیا	Category:Australian_Senate	Australian_Senate
 	رده:اصالت‌سنجی	Category:Authentication	Authentication
 	رده:خودهمبستگی	Category:Autocorrelation	Autocorrelation
 	رده:شرکت اتوماتیک	Category:Automattic	Automattic
 	رده:دانشگاه مستقل مادرید	Category:Autonomous_University_of_Madrid	Autonomous_University_of_Madrid
 	رده:آوانوس	Category:Avanos	Avanos
 	رده:آواروآ	Category:Avarua	Avarua
 	رده:آودیئیفکا	Category:Avdiivka	Avdiivka
 	رده:باشگاه فوتبال اولی	Category:Aveley_F.C.	Aveley_F.C.
 	رده:اولژم	Category:Avelgem	Avelgem
 	رده:آونسا	Category:Avensa	Avensa
 	رده:آورسا	Category:Aversa	Aversa
 	رده:اویروی	Category:Averøy	Averøy
 	رده:آویچی	Category:Avicii	Avicii
 	رده:ولایت آوا (چیبا)	Category:Awa_Province_(Chiba)	Awa_Province_(Chiba)
 	رده:استخوان‌بندی محوری	Category:Axial_skeleton	Axial_skeleton
 	رده:آیالا کورپوریشن	Category:Ayala_Corporation	Ayala_Corporation
 	رده:باشگاه فوتبال آیلزبری	Category:Aylesbury_F.C.	Aylesbury_F.C.
 	رده:باشگاه فوتبال آیلزبری یونایتد	Category:Aylesbury_United_F.C.	Aylesbury_United_F.C.
 	رده:مردم آیمارا	Category:Aymara_people	Aymara_people
 	رده:پادشاهی آیوتایا	Category:Ayutthaya_Kingdom	Ayutthaya_Kingdom
 	رده:أزد	Category:Azd	Azd
 	رده:آئروسپاسیال	Category:Aérospatiale	Aérospatiale
 	رده:ناحیه عین مخلوف	Category:Aïn_Makhlouf_District	Aïn_Makhlouf_District
 	رده:ناحیه عین صفراء	Category:Aïn_Séfra_District	Aïn_Séfra_District
 	رده:باشگاه فوتبال توشهاون	Category:B36_Tórshavn	B36_Tórshavn
 	رده:گروه خودروسازی پکن	Category:BAIC_Group	BAIC_Group
 	رده:بی‌بی‌سی وان	Category:BBC_One	BBC_One
 	رده:رادیو بی‌بی‌سی ۲	Category:BBC_Radio_2	BBC_Radio_2
 	رده:بی‌بی‌سی دو	Category:BBC_Two	BBC_Two
 	رده:بی‌بی‌کی الکترونیکس	Category:BBK_Electronics	BBK_Electronics
 	رده:تیم بی‌ام‌سی	Category:BMC_Racing_Team	BMC_Racing_Team
 	رده:خط آهن بی‌ان‌اس‌اف	Category:BNSF_Railway	BNSF_Railway
 	رده:بی‌تی‌اس اسکای‌ترین	Category:BTS_Skytrain	BTS_Skytrain
 	رده:بی‌تی اسپورت	Category:BT_Sport	BT_Sport
 	رده:بارن (هلند)	Category:Baarn	Baarn
 	رده:بابزیا	Category:Babesia	Babesia
 	رده:بابی یار	Category:Babi_Yar	Babi_Yar
 	رده:شهرستان باکا، کلرادو	Category:Baca_County,_Colorado	Baca_County,_Colorado
 	رده:باکلود	Category:Bacolod	Bacolod
 	رده:باد گوتلوبا-برگیس‌هوبل	Category:Bad_Gottleuba-Berggießhübel	Bad_Gottleuba-Berggießhübel
 	رده:باد کوزن	Category:Bad_Kösen	Bad_Kösen
 	رده:باد موسکاو	Category:Bad_Muskau	Bad_Muskau
 	رده:ماهیان آفتاب‌پرست	Category:Badidae	Badidae
 	رده:باشگاه فوتبال بدشات لی	Category:Badshot_Lea_F.C.	Badshot_Lea_F.C.
 	رده:بافرا	Category:Bafra	Bafra
 	رده:ولایت بغداد	Category:Baghdad_Vilayet	Baghdad_Vilayet
 	رده:تیم دوچرخه‌سواری بحرین–مریدا	Category:Bahrain–Merida_Pro_Cycling_Team	Bahrain–Merida_Pro_Cycling_Team
 	رده:دانشگاه باغچه‌شهر	Category:Bahçeşehir_University	Bahçeşehir_University
 	رده:بایشان	Category:Baishan	Baishan
 	رده:بایین	Category:Baiyin	Baiyin
 	رده:باغچه‌سرای	Category:Bakhchysarai	Bakhchysarai
 	رده:خاندان بلعمی	Category:Bal'ami_family	Bal'ami_family
 	رده:بلد، عراق	Category:Balad,_Iraq	Balad,_Iraq
 	رده:بلد روز	Category:Balad_Ruz	Balad_Ruz
 	رده:ترازنامه	Category:Balance_sheet	Balance_sheet
 	رده:بالانگیر	Category:Balangir	Balangir
 	رده:شهرستان بالانگیر	Category:Balangir_district	Balangir_district
 	رده:شهرستان بالاسور	Category:Balasore_district	Balasore_district
 	رده:بالروپ	Category:Ballerup	Ballerup
 	رده:ناسیونالیسم بلوچ	Category:Baloch_nationalism	Baloch_nationalism
 	رده:بالسورانو	Category:Balsorano	Balsorano
 	رده:تور دوچرخه‌سواری بالتیک	Category:Baltic_Chain_Tour	Baltic_Chain_Tour
 	رده:بالتو (فیلم)	Category:Balto_(film)	Balto_(film)
 	رده:بامبرگ (ناحیه)	Category:Bamberg_(district)	Bamberg_(district)
 	رده:کبک خیزرانی	Category:Bambusicola	Bambusicola
 	رده:بامندا	Category:Bamenda	Bamenda
 	رده:شهرستان بمپور	Category:Bampur_County	Bampur_County
 	رده:باشگاه فوتبال بنبری یونایتد	Category:Banbury_United_F.C.	Banbury_United_F.C.
 	رده:بانده، اوتار پرادش	Category:Banda,_Uttar_Pradesh	Banda,_Uttar_Pradesh
 	رده:مؤسسه فناوری باندونگ	Category:Bandung_Institute_of_Technology	Bandung_Institute_of_Technology
 	رده:بنگ و اولافسن	Category:Bang_&_Olufsen	Bang_&_Olufsen
 	رده:باشگاه فوتبال بانک بانکوک	Category:Bangkok_Bank_F.C.	Bangkok_Bank_F.C.
 	رده:بانک کانادا	Category:Bank_of_Canada	Bank_of_Canada
 	رده:باشگاه فوتبال بانستید اتلتیک	Category:Banstead_Athletic_F.C.	Banstead_Athletic_F.C.
 	رده:بانتری	Category:Bantry	Bantry
 	رده:ثقیف	Category:Banu_Thaqif	Banu_Thaqif
 	رده:بانیول-سور-مر	Category:Banyuls-sur-Mer	Banyuls-sur-Mer
 	رده:بائوتو	Category:Baotou	Baotou
 	رده:بارابو، ویسکانسین	Category:Baraboo,_Wisconsin	Baraboo,_Wisconsin
 	رده:باراکوآ	Category:Baracoa	Baracoa
 	رده:دودمان بارکزایی	Category:Barakzai_dynasty	Barakzai_dynasty
 	رده:متروی بارسلون	Category:Barcelona_Metro	Barcelona_Metro
 	رده:جن پابرهنه	Category:Barefoot_Gen	Barefoot_Gen
 	رده:شهرستان بارگار	Category:Bargarh_district	Bargarh_district
 	رده:باریسکیانو	Category:Barisciano	Barisciano
 	رده:بارنی و دوستان	Category:Barney_&_Friends	Barney_&_Friends
 	رده:بارنزبوری	Category:Barnsbury	Barnsbury
 	رده:باروک پاپ	Category:Baroque_pop	Baroque_pop
 	رده:بارتلیت، نیوهمپشایر	Category:Bartlett,_New_Hampshire	Bartlett,_New_Hampshire
 	رده:باشگاه فوتبال بارتون راورز	Category:Barton_Rovers_F.C.	Barton_Rovers_F.C.
 	رده:عنکبوت‌های دریچه‌ساز فرچه‌پا	Category:Barychelidae	Barychelidae
 	رده:نیدرکرشن	Category:Bascharage	Bascharage
 	رده:باشگاه فوتبال باسفورد یونایتد	Category:Basford_United_F.C.	Basford_United_F.C.
 	رده:بشار اسد	Category:Bashar_al-Assad	Bashar_al-Assad
 	رده:باشکیرین	Category:Bashkirian	Bashkirian
 	رده:باشگاه فوتبال باشلی	Category:Bashley_F.C.	Bashley_F.C.
 	رده:درآمد پایه	Category:Basic_income	Basic_income
 	رده:باشگاه فوتبال بزیلدون یونایتد	Category:Basildon_United_F.C.	Basildon_United_F.C.
 	رده:بسکتبال در بازی‌های المپیک تابستانی ۲۰۱۲ – مسابقات گزینشی مردان	Category:Basketball_at_the_2012_Summer_Olympics_–_Men's_qualification	Basketball_at_the_2012_Summer_Olympics_–_Men's_qualification
 	رده:بسکتبال در بازی‌های المپیک تابستانی ۲۰۱۶ – مسابقات مردان	Category:Basketball_at_the_2016_Summer_Olympics_–_Men's_tournament	Basketball_at_the_2016_Summer_Olympics_–_Men's_tournament
 	رده:بسکتبال در بازی‌های المپیک تابستانی ۲۰۱۶ – مسابقات زنان	Category:Basketball_at_the_2016_Summer_Olympics_–_Women's_tournament	Basketball_at_the_2016_Summer_Olympics_–_Women's_tournament
 	رده:بیس‌هانتر	Category:Basshunter	Basshunter
 	رده:باستیل (گروه موسیقی)	Category:Bastille_(band)	Bastille_(band)
 	رده:باتا	Category:Bata,_Equatorial_Guinea	Bata,_Equatorial_Guinea
 	رده:باتانگاس	Category:Batangas_City	Batangas_City
 	رده:جمهوری باتاو	Category:Batavian_Republic	Batavian_Republic
 	رده:بترسی	Category:Battersea	Battersea
 	رده:نبرد گتیسبرگ	Category:Battle_of_Gettysburg	Battle_of_Gettysburg
 	رده:نبرد هامپتون رودز	Category:Battle_of_Hampton_Roads	Battle_of_Hampton_Roads
 	رده:نبرد اوکیناوا	Category:Battle_of_Okinawa	Battle_of_Okinawa
 	رده:نبرد تاراوا	Category:Battle_of_Tarawa	Battle_of_Tarawa
 	رده:نبرد لیتل بیگ‌هورن	Category:Battle_of_the_Little_Bighorn	Battle_of_the_Little_Bighorn
 	رده:بتل‌استار گالکتیکا	Category:Battlestar_Galactica	Battlestar_Galactica
 	رده:باتوخان	Category:Batu_Khan	Batu_Khan
 	رده:بائوکائو	Category:Baucau	Baucau
 	رده:بکستر	Category:Baxter_International	Baxter_International
 	رده:بایامون، پورتوریکو	Category:Bayamón,_Puerto_Rico	Bayamón,_Puerto_Rico
 	رده:ایالت بایلسا	Category:Bayelsa_State	Bayelsa_State
 	رده:بایو، فرانسه	Category:Bayeux	Bayeux
 	رده:بیفیلد، ویسکانسین	Category:Bayfield,_Wisconsin	Bayfield,_Wisconsin
 	رده:بایونتا	Category:Bayonetta	Bayonetta
 	رده:پاسیاه‌ها	Category:Bdeogale	Bdeogale
 	رده:باشگاه فوتبال بکونزفیلد	Category:Beaconsfield_Town_F.C.	Beaconsfield_Town_F.C.
 	رده:بیودیزرت	Category:Beaudesert,_Queensland	Beaudesert,_Queensland
 	رده:دیو و دلبر (سریال ۲۰۱۲)	Category:Beauty_&_the_Beast_(2012_TV_series)	Beauty_&_the_Beast_(2012_TV_series)
 	رده:بیور دام، ویسکانسین	Category:Beaver_Dam,_Wisconsin	Beaver_Dam,_Wisconsin
 	رده:باور فالس، پنسیلوانیا	Category:Beaver_Falls,_Pennsylvania	Beaver_Falls,_Pennsylvania
 	رده:بلتا رکسا	Category:Bebe_Rexha	Bebe_Rexha
 	رده:باشگاه فوتبال بکامکس بین دونگ	Category:Becamex_Bình_Dương_F.C.	Becamex_Bình_Dương_F.C.
 	رده:باشگاه فوتبال بکنهام تاون	Category:Beckenham_Town_F.C.	Beckenham_Town_F.C.
 	رده:بکتون	Category:Beckton	Beckton
 	رده:ساس	Category:Bed_bug	Bed_bug
 	رده:باشگاه فوتبال فلتم	Category:Bedfont_&_Feltham_F.C.	Bedfont_&_Feltham_F.C.
 	رده:بدفورد، نیوهمپشایر	Category:Bedford,_New_Hampshire	Bedford,_New_Hampshire
 	رده:باشگاه فوتبال بدفورد تاون	Category:Bedford_Town_F.C.	Bedford_Town_F.C.
 	رده:بی ترین	Category:Bee_Train	Bee_Train
 	رده:بیک (هلند)	Category:Beek	Beek
 	رده:بیمستر	Category:Beemster	Beemster
 	رده:بیرنم	Category:Beernem	Beernem
 	رده:بئرس	Category:Beerse	Beerse
 	رده:بیسل	Category:Beesel	Beesel
 	رده:بهشت زهرا	Category:Behesht-e_Zahra	Behesht-e_Zahra
 	رده:آکادمی فیلم پکن	Category:Beijing_Film_Academy	Beijing_Film_Academy
 	رده:باشگاه فوتبال بیتار اورشلیم	Category:Beitar_Jerusalem_F.C.	Beitar_Jerusalem_F.C.
 	رده:بیهور	Category:Beiuș	Beiuș
 	رده:بکاسی	Category:Bekasi	Bekasi
 	رده:بلکارا	Category:Belcarra	Belcarra
 	رده:بلگراویا	Category:Belgravia	Belgravia
 	رده:تجدید نظر در باور	Category:Belief_revision	Belief_revision
 	رده:ناحیه بلیز	Category:Belize_District	Belize_District
 	رده:بل پلاین، آیووا	Category:Belle_Plaine,_Iowa	Belle_Plaine,_Iowa
 	رده:بلویو، آیووا	Category:Bellevue,_Iowa	Bellevue,_Iowa
 	رده:بلینگ‌وده	Category:Bellingwedde	Bellingwedde
 	رده:بلینگ‌ولده	Category:Bellingwolde	Bellingwolde
 	رده:بلمانت، نیوهمپشایر	Category:Belmont,_New_Hampshire	Belmont,_New_Hampshire
 	رده:استان به‌وز	Category:Belz_Voivodeship	Belz_Voivodeship
 	رده:بمووو	Category:Bemowo	Bemowo
 	رده:بن هارپر	Category:Ben_Harper	Ben_Harper
 	رده:بندر، مولداوی	Category:Bender,_Moldova	Bender,_Moldova
 	رده:باشگاه فوتبال بنونتو	Category:Benevento_Calcio	Benevento_Calcio
 	رده:باشگاه فوتبال بنگالورو	Category:Bengaluru_FC	Bengaluru_FC
 	رده:بنینگتن، نیوهمپشایر	Category:Bennington,_New_Hampshire	Bennington,_New_Hampshire
 	رده:بنسون، آریزونا	Category:Benson,_Arizona	Benson,_Arizona
 	رده:بنسون، مینه‌سوتا	Category:Benson,_Minnesota	Benson,_Minnesota
 	رده:ایالت بنوئه	Category:Benue_State	Benue_State
 	رده:برخ‌ایک	Category:Bergeijk	Bergeijk
 	رده:برخن، لیمبورخ	Category:Bergen,_Limburg	Bergen,_Limburg
 	رده:برخن، هلند شمالی	Category:Bergen,_North_Holland	Bergen,_North_Holland
 	رده:برکل‌لاند	Category:Berkelland	Berkelland
 	رده:برلار	Category:Berlaar	Berlaar
 	رده:قطار شهری برلین	Category:Berlin_S-Bahn	Berlin_S-Bahn
 	رده:برموندزی	Category:Bermondsey	Bermondsey
 	رده:برن‌هیزه	Category:Bernheze	Bernheze
 	رده:رشته‌کوه برنینا	Category:Bernina_Range	Bernina_Range
 	رده:برنزدورف (اوبرلاوزیتس)	Category:Bernsdorf,_Upper_Lusatia	Bernsdorf,_Upper_Lusatia
 	رده:برتل توروالدسن	Category:Bertel_Thorvaldsen	Bertel_Thorvaldsen
 	رده:برویکشر	Category:Berwickshire	Berwickshire
 	رده:بروین هایتس، مریلند	Category:Berwyn_Heights,_Maryland	Berwyn_Heights,_Maryland
 	رده:بسنی	Category:Besni	Besni
 	رده:بث دیتو	Category:Beth_Ditto	Beth_Ditto
 	رده:بتانی همیلتون	Category:Bethany_Hamilton	Bethany_Hamilton
 	رده:بتلیهم، نیوهمپشایر	Category:Bethlehem,_New_Hampshire	Bethlehem,_New_Hampshire
 	رده:دانشگاه بیت لحم	Category:Bethlehem_University	Bethlehem_University
 	رده:بثنال گرین	Category:Bethnal_Green	Bethnal_Green
 	رده:بت دیویس	Category:Bette_Davis	Bette_Davis
 	رده:بتی بوپ	Category:Betty_Boop	Betty_Boop
 	رده:بئونینگن	Category:Beuningen	Beuningen
 	رده:بیفرویک	Category:Beverwijk	Beverwijk
 	رده:بی‌پازاری	Category:Beypazarı,_Ankara	Beypazarı,_Ankara
 	رده:شهرستان بهادراک	Category:Bhadrak_district	Bhadrak_district
 	رده:بهارتی ایرتل	Category:Bharti_Airtel	Bharti_Airtel
 	رده:زبان بوجپوری	Category:Bhojpuri_language	Bhojpuri_language
 	رده:بیاوا پودلاسکا	Category:Biała_Podlaska	Biała_Podlaska
 	رده:کتاب‌بازی	Category:Bibliophilia	Bibliophilia
 	رده:باشگاه فوتبال بیدفورد	Category:Bideford_A.F.C.	Bideford_A.F.C.
 	رده:بیئی، هوکایدو	Category:Biei,_Hokkaido	Biei,_Hokkaido
 	رده:بیلانه	Category:Bielany	Bielany
 	رده:بنات النعش	Category:Big_Dipper	Big_Dipper
 	رده:تاریخ بزرگ	Category:Big_History	Big_History
 	رده:بیگ سور	Category:Big_Sur	Big_Sur
 	رده:بیگیرا	Category:Bigyra	Bigyra
 	رده:بیل هیلی	Category:Bill_Haley	Bill_Haley
 	رده:جایزه موسیقی بیلبورد	Category:Billboard_Music_Award	Billboard_Music_Award
 	رده:بیلی وایلدر	Category:Billy_Wilder	Billy_Wilder
 	رده:بیلی د کید	Category:Billy_the_Kid	Billy_the_Kid
 	رده:بیمان بنگلادش ایرلاینز	Category:Biman_Bangladesh_Airlines	Biman_Bangladesh_Airlines
 	رده:بنش (بلژیک)	Category:Binche	Binche
